,reset_year(yr),calibration_frequency(d),min_activity(Bq),min_100_events_time(hr),10yr_min_100_events_time(hr),10yr_fraction(%)
0,3,1,4000,1496.11,4957.32,5.66
1,3,2,4000,748.08,2478.7400000000002,2.83
2,3,3,4000,499.24,1654.92,1.89
3,3,4,4000,374.82,1241.72,1.42
4,3,7,4000,214.86,711.6,0.81
5,3,15,4000,99.89,331.90000000000003,0.38
6,3,30,4000,50.73,168.96,0.19
