,reset_year(yr),calibration_frequency(d),min_activity(Bq),min_100_events_time(hr),10yr_min_100_events_time(hr),10yr_fraction(%)
0,2,1,3500,960.41,4802.05,5.48
1,2,2,3500,480.91,2404.55,2.74
2,2,3,3500,320.16,1600.8000000000002,1.83
3,2,4,3500,241.16,1205.8,1.38
4,2,7,3500,138.41,692.05,0.79
5,2,15,3500,64.61,323.05,0.37
6,2,30,3500,33.01,165.04999999999998,0.19
