,reset_year(yr),calibration_frequency(d),min_activity(Bq),min_100_events_time(hr),10yr_min_100_events_time(hr),10yr_fraction(%)
0,4,1,4500,2104.66,5169.73,5.9
1,4,2,4500,1053.24,2587.39,2.95
2,4,3,4500,702.76,1725.68,1.97
3,4,4,4500,526.64,1294.44,1.48
4,4,7,4500,301.71,741.8299999999999,0.85
5,4,15,4500,141.65,347.91,0.4
6,4,30,4500,70.84,174.69,0.2
