,reset_year(yr),calibration_frequency(d),min_activity(Bq),min_100_events_time(hr),10yr_min_100_events_time(hr),10yr_fraction(%)
0,5,1,5000,2822.45,5644.9,6.44
1,5,2,5000,1411.22,2822.44,3.22
2,5,3,5000,940.81,1881.62,2.15
3,5,4,5000,705.61,1411.22,1.61
4,5,7,5000,404.13,808.26,0.92
5,5,15,5000,189.03,378.06,0.43
6,5,30,5000,94.52,189.04,0.22
